well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,254-555-1,254-555-1
A3,254-555-2,254-555-2
A4,254-555-3,254-555-3
B2,254-373-1,254-373-1
B3,254-373-2,254-373-2
B4,254-373-3,254-373-3
C2,255-555-1,255-555-1
C3,255-555-2,255-555-2
C4,255-555-3,255-555-3
D2,255-373-1,255-373-1
D3,255-373-2,255-373-2
D4,255-373-3,255-373-3
E2,257-555-1,257-555-1
E3,257-555-2,257-555-2
E4,257-555-3,257-555-3
F2,257-373-1,257-373-1
F3,257-373-2,257-373-2
F4,257-373-3,257-373-3
G2,258-555-1,258-555-1
G3,258-555-2,258-555-2
G4,258-555-3,258-555-3
H2,258-373-1,258-373-1
H3,258-373-2,258-373-2
H4,258-373-3,258-373-3
A6,265-555-1,265-555-1
A7,265-555-2,265-555-2
A8,265-555-3,265-555-3
B6,265-373-1,265-373-1
B7,265-373-2,265-373-2
B8,265-373-3,265-373-3
C6,266-555-1,266-555-1
C7,266-555-2,266-555-2
C8,266-555-3,266-555-3
D6,266-373-1,266-373-1
D7,266-373-2,266-373-2
D8,266-373-3,266-373-3
E6,276-555-1,276-555-1
E7,276-555-2,276-555-2
E8,276-555-3,276-555-3
F6,276-373-1,276-373-1
F7,276-373-2,276-373-2
F8,276-373-3,276-373-3
G6,277-555-1,277-555-1
G7,277-555-2,277-555-2
G8,277-555-3,277-555-3
H6,277-373-1,277-373-1
H7,277-373-2,277-373-2
H8,277-373-3,277-373-3
A10,278-555-1,278-555-1
A11,278-555-2,278-555-2
A12,278-555-3,278-555-3
B10,278-373-1,278-373-1
B11,278-373-2,278-373-2
B12,278-373-3,278-373-3
C10,279-555-1,279-555-1
C11,279-555-2,279-555-2
C12,279-555-3,279-555-3
D10,279-373-1,279-373-1
D11,279-373-2,279-373-2
D12,279-373-3,279-373-3
E10,194-529-1,194-529-1
E11,194-529-2,194-529-2
E12,194-529-3,194-529-3
F10,194-373-1,194-373-1
F11,194-373-2,194-373-2
F12,194-373-3,194-373-3
G10,188-555-1,188-555-1
G11,188-555-2,188-555-2
G12,188-555-3,188-555-3
H10,188-373-1,188-373-1
H11,188-373-2,188-373-2
H12,188-373-3,188-373-3
