well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,194-529-1,194-529-1
A3,194-529-2,194-529-2
A4,194-529-3,194-529-3
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
C2,188-555-1,188-555-1
C3,188-555-2,188-555-2
C4,188-555-3,188-555-3
D2,188-373-1,188-373-1
D3,188-373-2,188-373-2
D4,188-373-3,188-373-3
E2,222-555-1,222-555-1
E3,222-555-2,222-555-2
E4,222-555-3,222-555-3
F2,222-373-1,222-373-1
F3,222-373-2,222-373-2
F4,222-373-3,222-373-3
G2,227-555-1,227-555-1
G3,227-555-2,227-555-2
G4,227-555-3,227-555-3
H2,227-373-1,227-373-1
H3,227-373-2,227-373-2
H4,227-373-3,227-373-3
A6,211-555-1,211-555-1
A7,211-555-2,211-555-2
A8,211-555-3,211-555-3
B6,211-373-1,211-373-1
B7,211-373-2,211-373-2
B8,211-373-3,211-373-3
C6,210-555-1,210-555-1
C7,210-555-2,210-555-2
C8,210-555-3,210-555-3
D6,210-373-1,210-373-1
D7,210-373-2,210-373-2
D8,210-373-3,210-373-3
E6,217-555-1,217-555-1
E7,217-555-2,217-555-2
E8,217-555-3,217-555-3
F6,217-373-1,217-373-1
F7,217-373-2,217-373-2
F8,217-373-3,217-373-3
G6,218-555-1,218-555-1
G7,218-555-2,218-555-2
G8,218-555-3,218-555-3
H6,218-373-1,218-373-1
H7,218-373-2,218-373-2
H8,218-373-3,218-373-3
A10,223-555-1,223-555-1
A11,223-555-2,223-555-2
A12,223-555-3,223-555-3
B10,223-373-1,223-373-1
B11,223-373-2,223-373-2
B12,223-373-3,223-373-3
C10,224-555-1,224-555-1
C11,224-555-2,224-555-2
C12,224-555-3,224-555-3
D10,224-373-1,224-373-1
D11,224-373-2,224-373-2
D12,224-373-3,224-373-3
E10,220-555-1,220-555-1
E11,220-555-2,220-555-2
E12,220-555-3,220-555-3
F10,220-373-1,220-373-1
F11,220-373-2,220-373-2
F12,220-373-3,220-373-3
G10,221-555-1,221-555-1
G11,221-555-2,221-555-2
G12,221-555-3,221-555-3
H10,221-373-1,221-373-1
H11,221-373-2,221-373-2
H12,221-373-3,221-373-3
