well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,194-529-1,194-529-1
A3,194-529-2,194-529-2
A4,194-529-3,194-529-3
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
C2,188-555-1,188-555-1
C3,188-555-2,188-555-2
C4,188-555-3,188-555-3
D2,188-373-1,188-373-1
D3,188-373-2,188-373-2
D4,188-373-3,188-373-3
E2,330-555-1,330-555-1
E3,330-555-2,330-555-2
E4,330-555-3,330-555-3
F2,330-373-1,330-373-1
F3,330-373-2,330-373-2
F4,330-373-3,330-373-3
G2,331-555-1,331-555-1
G3,331-555-2,331-555-2
G4,331-555-3,331-555-3
H2,331-373-1,331-373-1
H3,331-373-2,331-373-2
H4,331-373-3,331-373-3
A6,301-555-1,301-555-1
A7,301-555-2,301-555-2
A8,301-555-3,301-555-3
B6,301-373-1,301-373-1
B7,301-373-2,301-373-2
B8,301-373-3,301-373-3
C6,294-555-1,294-555-1
C7,294-555-2,294-555-2
C8,294-555-3,294-555-3
D6,294-373-1,294-373-1
D7,294-373-2,294-373-2
D8,294-373-3,294-373-3
E6,332-555-1,332-555-1
E7,332-555-2,332-555-2
E8,332-555-3,332-555-3
F6,332-373-1,332-373-1
F7,332-373-2,332-373-2
F8,332-373-3,332-373-3
G6,334-555-1,334-555-1
G7,334-555-2,334-555-2
G8,334-555-3,334-555-3
H6,334-373-1,334-373-1
H7,334-373-2,334-373-2
H8,334-373-3,334-373-3
A10,326-555-1,326-555-1
A11,326-555-2,326-555-2
A12,326-555-3,326-555-3
B10,326-373-1,326-373-1
B11,326-373-2,326-373-2
B12,326-373-3,326-373-3
C10,327-555-1,327-555-1
C11,327-555-2,327-555-2
C12,327-555-3,327-555-3
D10,327-373-1,327-373-1
D11,327-373-2,327-373-2
D12,327-373-3,327-373-3
E10,328-555-1,328-555-1
E11,328-555-2,328-555-2
E12,328-555-3,328-555-3
F10,328-373-1,328-373-1
F11,328-373-2,328-373-2
F12,328-373-3,328-373-3
G10,329-555-1,329-555-1
G11,329-555-2,329-555-2
G12,329-555-3,329-555-3
H10,329-373-1,329-373-1
H11,329-373-2,329-373-2
H12,329-373-3,329-373-3
