well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,211-555-1,211-555-1
A3,211-555-2,211-555-2
A4,211-555-3,211-555-3
B2,211-373-1,211-373-1
B3,211-373-2,211-373-2
B4,211-373-3,211-373-3
C2,210-555-1,210-555-1
C3,210-555-2,210-555-2
C4,210-555-3,210-555-3
D2,210-373-1,210-373-1
D3,210-373-2,210-373-2
D4,210-373-3,210-373-3
E2,217-555-1,217-555-1
E3,217-555-2,217-555-2
E4,217-555-3,217-555-3
F2,217-373-1,217-373-1
F3,217-373-2,217-373-2
F4,217-373-3,217-373-3
G2,218-555-1,218-555-1
G3,218-555-2,218-555-2
G4,218-555-3,218-555-3
H2,218-373-1,218-373-1
H3,218-373-2,218-373-2
H4,218-373-3,218-373-3
A6,220-555-1,220-555-1
A7,220-555-2,220-555-2
A8,220-555-3,220-555-3
B6,220-373-1,220-373-1
B7,220-373-2,220-373-2
B8,220-373-3,220-373-3
C6,221-555-1,221-555-1
C7,221-555-2,221-555-2
C8,221-555-3,221-555-3
D6,221-373-1,221-373-1
D7,221-373-2,221-373-2
D8,221-373-3,221-373-3
E6,223-555-1,223-555-1
E7,223-555-2,223-555-2
E8,223-555-3,223-555-3
F6,223-373-1,223-373-1
F7,223-373-2,223-373-2
F8,223-373-3,223-373-3
G6,224-555-1,224-555-1
G7,224-555-2,224-555-2
G8,224-555-3,224-555-3
H6,224-373-1,224-373-1
H7,224-373-2,224-373-2
H8,224-373-3,224-373-3
A10,222-555-1,222-555-1
A11,222-555-2,222-555-2
A12,222-555-3,222-555-3
B10,222-373-1,222-373-1
B11,222-373-2,222-373-2
B12,222-373-3,222-373-3
C10,227-555-1,227-555-1
C11,227-555-2,227-555-2
C12,227-555-3,227-555-3
D10,227-373-1,227-373-1
D11,227-373-2,227-373-2
D12,227-373-3,227-373-3
E10,194-529-1,194-529-1
E11,194-529-2,194-529-2
E12,194-529-3,194-529-3
F10,194-373-1,194-373-1
F11,194-373-2,194-373-2
F12,194-373-3,194-373-3
G10,188-555-1,188-555-1
G11,188-555-2,188-555-2
G12,188-555-3,188-555-3
H10,188-373-1,188-373-1
H11,188-373-2,188-373-2
H12,188-373-3,188-373-3
