well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,194-529-1,194-529-1
A3,194-529-2,194-529-2
A4,194-529-3,194-529-3
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
C2,188-555-1,188-555-1
C3,188-555-2,188-555-2
C4,188-555-3,188-555-3
D2,188-373-1,188-373-1
D3,188-373-2,188-373-2
D4,188-373-3,188-373-3
E2,414-555-1,414-555-1
E3,414-555-2,414-555-2
E4,414-555-3,414-555-3
F2,414-373-1,414-373-1
F3,414-373-2,414-373-2
F4,414-373-3,414-373-3
G2,415-555-1,415-555-1
G3,415-555-2,415-555-2
G4,415-555-3,415-555-3
H2,415-373-1,415-373-1
H3,415-373-2,415-373-2
H4,415-373-3,415-373-3
A6,406-555-1,406-555-1
A7,406-555-2,406-555-2
A8,406-555-3,406-555-3
B6,406-373-1,406-373-1
B7,406-373-2,406-373-2
B8,406-373-3,406-373-3
C6,407-555-1,407-555-1
C7,407-555-2,407-555-2
C8,407-555-3,407-555-3
D6,407-373-1,407-373-1
D7,407-373-2,407-373-2
D8,407-373-3,407-373-3
E6,408-555-1,408-555-1
E7,408-555-2,408-555-2
E8,408-555-3,408-555-3
F6,408-373-1,408-373-1
F7,408-373-2,408-373-2
F8,408-373-3,408-373-3
G6,409-555-1,409-555-1
G7,409-555-2,409-555-2
G8,409-555-3,409-555-3
H6,409-373-1,409-373-1
H7,409-373-2,409-373-2
H8,409-373-3,409-373-3
A10,410-555-1,410-555-1
A11,410-555-2,410-555-2
A12,410-555-3,410-555-3
B10,410-373-1,410-373-1
B11,410-373-2,410-373-2
B12,410-373-3,410-373-3
C10,411-555-1,411-555-1
C11,411-555-2,411-555-2
C12,411-555-3,411-555-3
D10,411-373-1,411-373-1
D11,411-373-2,411-373-2
D12,411-373-3,411-373-3
E10,412-555-1,412-555-1
E11,412-555-2,412-555-2
E12,412-555-3,412-555-3
F10,412-373-1,412-373-1
F11,412-373-2,412-373-2
F12,412-373-3,412-373-3
G10,413-555-1,413-555-1
G11,413-555-2,413-555-2
G12,413-555-3,413-555-3
H10,413-373-1,413-373-1
H11,413-373-2,413-373-2
H12,413-373-3,413-373-3
