well,file,sample
A2,406-555-1,406-555-1
A3,406-555-2,406-555-2
A4,406-555-3,406-555-3
A5,194-555-5,194-555-5
A6,410-555-1,410-555-1
A7,410-555-2,410-555-2
A8,410-555-3,410-555-3
A9,194-555-9,194-555-9
A10,414-555-1,414-555-1
A11,414-555-2,414-555-2
A12,414-555-3,414-555-3
B1,NA-blank-1,NA-blank-1
B2,406-373-1,406-373-1
B3,406-373-2,406-373-2
B4,406-373-3,406-373-3
B5,NA-156-2,NA-156-2
B6,410-373-1,410-373-1
B7,410-373-2,410-373-2
B8,410-373-3,410-373-3
B9,NA-373-3,NA-373-3
B10,414-373-1,414-373-1
B11,414-373-2,414-373-2
B12,414-373-3,414-373-3
C1,194-555-2,194-555-2
C2,407-555-1,407-555-1
C3,407-555-2,407-555-2
C4,407-555-3,407-555-3
C5,194-555-6,194-555-6
C6,411-555-1,411-555-1
C7,411-555-2,411-555-2
C8,411-555-3,411-555-3
C9,194-555-10,194-555-10
C10,415-555-1,415-555-1
C11,415-555-2,415-555-2
C12,415-555-3,415-555-3
D1,NA-555-1,NA-555-1
D2,407-373-1,407-373-1
D3,407-373-2,407-373-2
D4,407-373-3,407-373-3
D5,NA-blank-2,NA-blank-2
D6,411-373-1,411-373-1
D7,411-373-2,411-373-2
D8,411-373-3,411-373-3
D9,NA-156-3,NA-156-3
D10,415-373-1,415-373-1
D11,415-373-2,415-373-2
D12,415-373-3,415-373-3
E1,194-555-3,194-555-3
E2,408-555-1,408-555-1
E3,408-555-2,408-555-2
E4,408-555-3,408-555-3
E5,194-555-7,194-555-7
E6,412-555-1,412-555-1
E7,412-555-2,412-555-2
E8,412-555-3,412-555-3
E9,194-555-11,194-555-11
E10,194-529-1,194-529-1
E11,194-529-2,194-529-2
E12,194-529-3,194-529-3
F1,NA-373-1,NA-373-1
F2,408-373-1,408-373-1
F3,408-373-2,408-373-2
F4,408-373-3,408-373-3
F5,NA-555-2,NA-555-2
F6,412-373-1,412-373-1
F7,412-373-2,412-373-2
F8,412-373-3,412-373-3
F9,NA-blank-3,NA-blank-3
F10,194-373-1,194-373-1
F11,194-373-2,194-373-2
F12,194-373-3,194-373-3
G1,194-555-4,194-555-4
G2,409-555-1,409-555-1
G3,409-555-2,409-555-2
G4,409-555-3,409-555-3
G5,194-555-8,194-555-8
G6,413-555-1,413-555-1
G7,413-555-2,413-555-2
G8,413-555-3,413-555-3
G9,194-555-12,194-555-12
G10,188-555-1,188-555-1
G11,188-555-2,188-555-2
G12,188-555-3,188-555-3
H1,NA-156-1,NA-156-1
H2,409-373-1,409-373-1
H3,409-373-2,409-373-2
H4,409-373-3,409-373-3
H5,NA-373-2,NA-373-2
H6,413-373-1,413-373-1
H7,413-373-2,413-373-2
H8,413-373-3,413-373-3
H9,NA-555-3,NA-555-3
H10,188-373-1,188-373-1
H11,188-373-2,188-373-2
H12,188-373-3,188-373-3
A1,194-555-1,194-555-1
