well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,440-555-1,440-555-1
A3,440-555-2,440-555-2
A4,440-555-3,440-555-3
B2,440-373-1,440-373-1
B3,440-373-2,440-373-2
B4,440-373-3,440-373-3
C2,253-555-1,253-555-1
C3,253-555-2,253-555-2
C4,253-555-3,253-555-3
D2,253-373-1,253-373-1
D3,253-373-2,253-373-2
D4,253-373-3,253-373-3
E2,441-555-1,441-555-1
E3,441-555-2,441-555-2
E4,441-555-3,441-555-3
F2,441-373-1,441-373-1
F3,441-373-2,441-373-2
F4,441-373-3,441-373-3
G2,216-555-1,216-555-1
G3,216-555-2,216-555-2
G4,216-555-3,216-555-3
H2,216-373-1,216-373-1
H3,216-373-2,216-373-2
H4,216-373-3,216-373-3
A6,445-555-1,445-555-1
A7,445-555-2,445-555-2
A8,445-555-3,445-555-3
B6,445-373-1,445-373-1
B7,445-373-2,445-373-2
B8,445-373-3,445-373-3
F6,194-373-1,194-373-1
F7,194-373-2,194-373-2
F8,194-373-3,194-373-3
G6,188-555-1,188-555-1
G7,188-555-2,188-555-2
G8,188-555-3,188-555-3
H6,188-373-1,188-373-1
H7,188-373-2,188-373-2
H8,188-373-3,188-373-3
A10,442-555-1,442-555-1
A11,442-555-2,442-555-2
A12,442-555-3,442-555-3
B10,442-373-1,442-373-1
B11,442-373-2,442-373-2
B12,442-373-3,442-373-3
C10,235-555-1,235-555-1
C11,235-555-2,235-555-2
C12,235-555-3,235-555-3
D10,235-373-1,235-373-1
D11,235-373-2,235-373-2
D12,235-373-3,235-373-3
E10,443-555-1,443-555-1
E11,443-555-2,443-555-2
E12,443-555-3,443-555-3
F10,443-373-1,443-373-1
F11,443-373-2,443-373-2
F12,443-373-3,443-373-3
G10,444-555-1,444-555-1
G11,444-555-2,444-555-2
G12,444-555-3,444-555-3
H10,444-373-1,444-373-1
H11,444-373-2,444-373-2
H12,444-373-3,444-373-3
