well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,435-555-1,435-555-1
A3,435-555-2,435-555-2
A4,435-555-3,435-555-3
B2,435-373-1,435-373-1
B3,435-373-2,435-373-2
B4,435-373-3,435-373-3
C2,250-555-1,250-555-1
C3,250-555-2,250-555-2
C4,250-555-3,250-555-3
D2,250-373-1,250-373-1
D3,250-373-2,250-373-2
D4,250-373-3,250-373-3
E2,436-555-1,436-555-1
E3,436-555-2,436-555-2
E4,436-555-3,436-555-3
F2,436-373-1,436-373-1
F3,436-373-2,436-373-2
F4,436-373-3,436-373-3
G2,240-555-1,240-555-1
G3,240-555-2,240-555-2
G4,240-555-3,240-555-3
H2,240-373-1,240-373-1
H3,240-373-2,240-373-2
H4,240-373-3,240-373-3
A6,437-555-1,437-555-1
A7,437-555-2,437-555-2
A8,437-555-3,437-555-3
B6,437-373-1,437-373-1
B7,437-373-2,437-373-2
B8,437-373-3,437-373-3
C6,224-555-1,224-555-1
C7,224-555-2,224-555-2
C8,224-555-3,224-555-3
D6,224-373-1,224-373-1
D7,224-373-2,224-373-2
D8,224-373-3,224-373-3
E6,438-555-1,438-555-1
E7,438-555-2,438-555-2
E8,438-555-3,438-555-3
F6,438-373-1,438-373-1
F7,438-373-2,438-373-2
F8,438-373-3,438-373-3
G6,229-555-1,229-555-1
G7,229-555-2,229-555-2
G8,229-555-3,229-555-3
H6,229-373-1,229-373-1
H7,229-373-2,229-373-2
H8,229-373-3,229-373-3
A10,439-555-1,439-555-1
A11,439-555-2,439-555-2
A12,439-555-3,439-555-3
B10,439-373-1,439-373-1
B11,439-373-2,439-373-2
B12,439-373-3,439-373-3
C10,278-555-1,278-555-1
C11,278-555-2,278-555-2
C12,278-555-3,278-555-3
D10,278-373-1,278-373-1
D11,278-373-2,278-373-2
D12,278-373-3,278-373-3
