plasmid	set	symbol	group	A_PHO2	A_pho2	se_PHO2	se_pho2	rA_PHO2	rA_pho2	boost
188	M	CCCCC	ref	18.094885043133885	16.73796489603677	0.33647862026886327	0.34781545283865817	1.0260063350504105	15.619183133387512	1.0810684067940903
194	M	SSSSS	ref	17.636231302845548	1.0716286987030554	0.16924867805088548	0.037936106533205616	1	1	16.457408544759854
209	M	CCSCC	chimera	8.253969236943249	7.822824358284187	0.5420096597405628	0.515699387707697	0.4680120766850851	7.299939211922752	1.0551137107152981
210	M	CCCCS	chimera	5.397018405471347	5.477823013463903	0.20968438204804973	0.2658157718851304	0.3060188037225706	5.111680025080952	0.9852487735010886
211	M	CCCSC	chimera	22.301553688349657	4.791502119692074	1.0772268230111703	0.08529580546168389	1.2645305737599037	4.47123348365998	4.654397124587491
212	M	SCCCC	chimera	9.788766065128724	8.766100475027617	0.25756882547121107	0.2999192307654809	0.5550372920970559	8.180165840684221	1.1166614041231242
213	M	CSCCC	chimera	11.998733883952156	10.354378523556342	0.6247616452037785	0.6132004345011594	0.6803456859865633	9.662281848263103	1.1588077311115181
215	M	SSCCC	chimera	6.701184771304095	5.829635880182562	0.27904639767946493	0.26095664560170667	0.37996693603257975	5.439977379513922	1.149503143769974
216	A	SCCCS	n.f.	2.173973882485664	2.661074215161377	0.07854596596654044	0.13524146574605292	0.12326748527815579	2.4832054408228865	0.816953495734739
217	M	CSSCC	chimera	6.270249281044277	5.243619684365439	0.168785136813051	0.0961443753763164	0.35553226612720784	4.893131073021428	1.1957864335088744
218	M	CCSSC	chimera	21.603642745958357	2.8007284301422244	0.99555254666834	0.0932046626679658	1.224958006899846	2.613525033000536	7.713579979213228
219	M	CCCSS	chimera	32.67530661433337	5.345591913348256	1.9340523300769887	0.2345372851199725	1.8527374728330603	4.98828737959126	6.112570346558108
220	M	SCSCC	n.f.	2.461363860540186	2.2263280552804905	0.21477947075380696	0.039715914974175766	0.13956291558407113	2.0775181347559246	1.105571056656376
221	M	CSCSS	chimera	31.10619846464107	4.986868536013071	1.0647246544387785	0.12091068986432421	1.763766755521186	4.653541419755234	6.237621513381628
222	M	SCCSS	chimera	40.44793254550858	3.0366811118956085	1.4715977170195191	0.14817014158335126	2.293456683060311	2.833706409291547	13.319782701931283
223	M	CSCSC	chimera	19.190885296916992	4.252679969196822	1.2109358996784054	0.09013566753605659	1.0881511456373678	3.968426726853855	4.512656827205706
224	M	SCSCS	n.f.	1.0049784803051922	1.160144312457401	0.16469719194590676	0.07922852286338887	0.05698374346808676	1.0825991445184997	0.866252990696012
227	M	SSSCC	n.f.	2.6400604911132577	1.9584701475603277	0.25219635885659647	0.09947402336264367	0.14969527478851405	1.8275641086605623	1.348021819174517
229	M	SSSCS	n.f.	0.9846358751182878	1.0495557761749137	0.10474877754155386	0.05940479614277204	0.05583028812734045	0.9794024529626207	0.9381453539389538
230	M	SSCSS	chimera	32.624661737149935	2.8906931273139893	0.9848540188433123	0.14002167767829174	1.8498658345383605	2.697476402799278	11.286103470784022
231	M	CSSSS	chimera	21.22733687750212	1.6883308969494994	0.37632176387761823	0.02373489641992729	1.2036209161124551	1.5754812268398666	12.572971871720156
232	M	SCSSS	chimera	19.873186466813614	1.0601029721638653	1.0696731727259121	0.18046406431117798	1.1268386156631514	0.9892446641703986	18.746468021166645
233	M	SSSSC	chimera	13.98069541737573	0.42980666744110646	0.20378246596546695	0.14801477388775286	0.7927257914291468	0.40107797407934515	32.52787003191711
234	M	CCSSS	chimera	31.042370782069522	2.2690856050584305	1.998647892659131	0.11493593208433009	1.7601476329617505	2.117417728551507	13.68056397381718
235	M	SSCCS	n.f.	1.8907782347881499	1.7980366469221436	0.15959884464705443	0.048418064221514685	0.10720987961203927	1.6778541383766854	1.0515793646501923
239	M	SSCSC	chimera	16.451042182597384	2.758120603484606	0.6020539291661017	0.16819544804413936	0.9327980507912176	2.5737651546871008	5.96458405836683
240	M	CCSCS	n.f.	2.8033417612044835	2.349144353180344	0.08435255719717309	0.04469245763353878	0.15895356060294885	2.192125272515946	1.1933458909875985
241	M	CSSSC	chimera	15.232177081079508	2.4220169837923597	1.4429212531049938	0.06456782898617695	0.8636866243992755	2.2601270260152786	6.289046353931499
250	M	CSSCS	n.f.	1.5289259699057687	1.3985951179543341	0.020764206192428476	0.03927351281719506	0.08669232919728613	1.30511166754585	1.0931869776165557
251	M	SCCSC	chimera	16.47252344713153	2.2028751542931135	0.49724878649173077	0.07135383852885217	0.934016069775278	2.055632848354244	7.477738089255195
252	M	SCSSC	chimera	13.497456328709864	1.339751053377531	0.5954997521375591	0.05021090793286047	0.7653254313200175	1.2502007971594753	10.074600273448258
253	M	CSCCS	n.f.	3.0463726796580803	3.125766511200087	0.1345673663325132	0.04393973724364232	0.1727337676256581	2.9168372543429113	0.9746002040595396
254	S	CSScsC	chimera	8.828485000256908	2.182713096842808	0.2727002529779404	0.04158112873059079	0.5005879571806512	2.036818442324705	4.044729934056334
255	S	CSSscC	chimera	12.6422163470089	5.119300117076468	0.2762542535947592	0.1857592112775043	0.7168320787995743	4.777121145852224	2.469520453555402
257	S	CCCscC	chimera	31.71249133960087	18.66586146156058	0.8429907991338466	0.5665483805573821	1.7981444445267716	17.418217227805716	1.6989567507991945
258	S	CCCcsC	chimera	11.008847558843726	4.183058499759521	0.23807831640333726	0.1328704648865868	0.6242176896981094	3.903458823771788	2.631769926114256
265	S	SSSscC	chimera	8.084674188717965	2.4828336055687843	0.48245461267148	0.143335716889735	0.45841280089207775	2.3168786059701905	3.2562287583770133
266	B	SSscCC	chimera	5.47501067509577	4.753651798019172	0.15445703371969616	0.14547535281143492	0.3104410789969847	4.435913114096613	1.151748362675025
276	S	SCCscC	chimera	27.265830530567836	8.373909801884627	0.716044477200169	0.43683638988440526	1.5460123006080433	7.81418957146183	3.2560454047918457
277	S	CSCscC	chimera	25.942676961181245	15.93163587061892	1.754012354918048	0.8759888126129665	1.470987566203868	14.866749919911877	1.6283749623618162
278	S	SSSscS	n.f.	2.575008408727263	1.2761315220194065	0.13363658568745296	0.10465352661726662	0.14600672697640305	1.1908336568102849	2.017823683762985
279	S	CSSscS	chimera	5.328198814498675	1.9126512250064505	0.1576563484911685	0.06428580035960729	0.302116632686655	1.7848077672063534	2.7857660324248115
